
[34m[1mwandb[39m[22m: [33mWARNING[39m The save_model argument by default saves the model in the HDF5 format that cannot save custom objects like subclassed models and custom layers. This behavior will be deprecated in a future release in favor of the SavedModel format. Meanwhile, the HDF5 model is saved as W&B files and the SavedModel as W&B Artifacts.
117/242 [=============>................] - ETA: 19:05:22 - loss: 0.1960 - psnr: 61.7120WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
118/242 [=============>................] - ETA: 18:47:46 - loss: 0.1957 - psnr: 61.7172WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
118/242 [=============>................] - ETA: 18:47:46 - loss: 0.1957 - psnr: 61.7172WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
119/242 [=============>................] - ETA: 18:30:18 - loss: 0.1956 - psnr: 61.7177WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
120/242 [=============>................] - ETA: 18:12:58 - loss: 0.1953 - psnr: 61.7220WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
121/242 [==============>...............] - ETA: 17:55:57 - loss: 0.1952 - psnr: 61.7221WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
121/242 [==============>...............] - ETA: 17:55:57 - loss: 0.1952 - psnr: 61.7221WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
122/242 [==============>...............] - ETA: 17:39:18 - loss: 0.1949 - psnr: 61.7287WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
123/242 [==============>...............] - ETA: 17:22:51 - loss: 0.1943 - psnr: 61.7528WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
124/242 [==============>...............] - ETA: 17:06:39 - loss: 0.1946 - psnr: 61.7422WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
125/242 [==============>...............] - ETA: 16:50:53 - loss: 0.1951 - psnr: 61.7218WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
126/242 [==============>...............] - ETA: 16:35:08 - loss: 0.1954 - psnr: 61.6994WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
127/242 [==============>...............] - ETA: 16:19:35 - loss: 0.1952 - psnr: 61.7024WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
127/242 [==============>...............] - ETA: 16:19:35 - loss: 0.1952 - psnr: 61.7024WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
128/242 [==============>...............] - ETA: 16:04:25 - loss: 0.1952 - psnr: 61.7009WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
128/242 [==============>...............] - ETA: 16:04:25 - loss: 0.1952 - psnr: 61.7009WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
129/242 [==============>...............] - ETA: 15:49:47 - loss: 0.1953 - psnr: 61.6945WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
129/242 [==============>...............] - ETA: 15:49:47 - loss: 0.1953 - psnr: 61.6945WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
130/242 [===============>..............] - ETA: 15:35:18 - loss: 0.1948 - psnr: 61.7110WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
130/242 [===============>..............] - ETA: 15:35:18 - loss: 0.1948 - psnr: 61.7110WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
131/242 [===============>..............] - ETA: 15:20:59 - loss: 0.1946 - psnr: 61.7203WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
131/242 [===============>..............] - ETA: 15:20:59 - loss: 0.1946 - psnr: 61.7203WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
132/242 [===============>..............] - ETA: 15:07:53 - loss: 0.1957 - psnr: 61.6878WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
132/242 [===============>..............] - ETA: 15:07:53 - loss: 0.1957 - psnr: 61.6878WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
133/242 [===============>..............] - ETA: 14:54:11 - loss: 0.1961 - psnr: 61.6810WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
134/242 [===============>..............] - ETA: 14:40:29 - loss: 0.1959 - psnr: 61.6907WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
134/242 [===============>..............] - ETA: 14:40:29 - loss: 0.1959 - psnr: 61.6907WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
135/242 [===============>..............] - ETA: 14:26:42 - loss: 0.1955 - psnr: 61.7181WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
136/242 [===============>..............] - ETA: 14:12:53 - loss: 0.1958 - psnr: 61.7032WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
137/242 [===============>..............] - ETA: 13:59:13 - loss: 0.1955 - psnr: 61.7229WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
138/242 [================>.............] - ETA: 13:45:47 - loss: 0.1955 - psnr: 61.7177WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
139/242 [================>.............] - ETA: 13:32:30 - loss: 0.1951 - psnr: 61.7268WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
140/242 [================>.............] - ETA: 13:19:24 - loss: 0.1953 - psnr: 61.7155WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
141/242 [================>.............] - ETA: 13:06:30 - loss: 0.1973 - psnr: 61.6565WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
142/242 [================>.............] - ETA: 12:53:46 - loss: 0.1966 - psnr: 61.6861WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
143/242 [================>.............] - ETA: 12:41:12 - loss: 0.1956 - psnr: 61.7548WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
144/242 [================>.............] - ETA: 12:28:52 - loss: 0.1960 - psnr: 61.7402WARNING:tensorflow:Can save best model only with val_psnr available, skipping.
